timestamp,dry_run,balance,rollover_source,window_start_utc,window_end_utc,symbol,ticket,position_volume,profit,swap,fee,net_profit,target_profit,closed,message
2026-04-10T19:41:47.748867+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:42:47.781971+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:43:47.814509+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:44:47.846871+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:45:47.877329+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:46:47.913666+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:47:47.946722+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:48:47.981915+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:49:48.015760+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:50:48.050634+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:51:48.080314+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:52:48.111857+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:53:48.143568+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:54:48.179792+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:55:48.215059+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:56:48.249232+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:57:48.281634+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:58:48.312383+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:59:48.345272+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T20:00:48.377739+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T20:01:48.412655+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T20:02:48.443076+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T20:03:48.477141+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T20:04:48.508932+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T20:05:48.542430+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T20:06:48.584396+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T20:07:48.619182+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T20:08:48.652751+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T20:09:48.684485+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T20:10:48.719476+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T20:11:48.752591+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T20:12:48.789205+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T20:13:48.819840+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T20:14:48.851947+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
